model,seed,boundary,fraction,evaluation_set,n,accuracy,margin_mean,margin_std,positive_margin_rate
minilm_frozen_bt,20260729,naive,0.8,external,372,0.46774193548387094,0.015369546635205919,0.3118275718919372,0.5268817204301075
minilm_frozen_bt,20260729,naive,1.0,target,512,0.478515625,-0.019126775798952347,0.24680693313251892,0.447265625
minilm_frozen_bt,20260729,naive,1.0,clean_validation,512,0.47265625,-0.010411053675246857,0.2514755274365306,0.458984375
minilm_frozen_bt,20260729,naive,1.0,untouched_clean_test,512,0.509765625,-0.01987149822903866,0.26403723093990505,0.455078125
minilm_frozen_bt,20260729,naive,1.0,external,372,0.4650537634408602,-0.0011111643880225594,0.3552585419243954,0.49731182795698925
minilm_frozen_bt,20260729,safe,0.2,target,512,0.5078125,-0.07795625672885864,0.09480716878048505,0.171875
minilm_frozen_bt,20260729,safe,0.2,clean_validation,512,0.466796875,-0.08508197751270066,0.0917627169943757,0.15234375
minilm_frozen_bt,20260729,safe,0.2,untouched_clean_test,512,0.484375,-0.07641219769177854,0.10003350578249275,0.1953125
minilm_frozen_bt,20260729,safe,0.2,external,372,0.4381720430107527,-0.07492709277138684,0.1343731767836442,0.25
minilm_frozen_bt,20260729,safe,0.4,target,512,0.486328125,-0.05842554152137907,0.15371617190535566,0.306640625
minilm_frozen_bt,20260729,safe,0.4,clean_validation,512,0.4453125,-0.067047518114584,0.15467475035543635,0.275390625
minilm_frozen_bt,20260729,safe,0.4,untouched_clean_test,512,0.482421875,-0.058125026299168256,0.16351195677154318,0.298828125
